here,worst_riskclass_l3m,no_daysarrs1_29_evr,capo_enqs_ever_cb,no_guarantors_mdi,worst_accstatus_l12m,customer_marital_status,no_daysarrs90_119_evr,no_daysarrs0_l3m,customer_employment_type,curbal_ugx,score1,score2,score3,score4,score5,score6,score7,score8,score9,score10,Uganda_CS_Scr
0.635852037,20,0,1, ,60,M,2,1,0,35298436,68,71,57,71,49,66,56,57,66,61,622
0.987586315,60,4,2, ,60,S,1,0,0,48875073,25,55,57,71,49,67,58,57,66,61,566
0.331232688,20,12,2, ,60,M,1,1, ,171369016,68,43,57,71,49,66,58,57,58,61,588
0.460961444,20,2,8, ,30,M,0,0,0,128029361,68,57,52,71,67,66,66,57,66,61,631
0.327793767,20,2,2, ,30,S,0,1,0,56788371,68,57,57,71,67,67,66,57,66,61,637
0.57114822,20,2,2, ,30,M,0,1,0,47952210,68,57,57,71,67,66,66,57,66,61,636
0.352592536,20,0,5, ,30,S,0,0,0,40374086,68,71,52,71,67,67,66,57,66,61,646
0.813362187,20,0,1,0,30,M,0,1, ,6608037,68,71,57,72,67,66,66,57,58,62,644
0.326108694,20,9,3, ,30,S,0,0,0,92940430,68,51,57,71,67,67,66,57,66,61,631
0.39476749,20,2,2, ,60,M,0,0,0,129587056,68,57,57,71,49,66,66,57,66,61,618
0.038769058,20,4,2, ,30,M,0,1,0,62271829,68,55,57,71,67,66,66,57,66,61,634
0.841051848,20,1, , ,60,M,0,1,0,16376838,68,61,65,71,49,66,66,57,66,61,630
0.930791279, , , , , , , , , , ,58,57,65,71,58,58,58,57,58,66,606
0.557239262,20,4,4, ,30,M,0,2,0,512893851,68,55,57,71,67,66,66,57,66,61,634
0.731337906,20,0,13,0,30,O,0,1,0,331540564,68,71,52,72,67,54,66,57,66,61,634
0.073935684,20,0,1, ,30,M,0,1,0,100105316,68,71,57,71,67,66,66,57,66,61,650
0.684693328,20,4,1, ,60,M,0,0,0,16212100,68,55,57,71,49,66,66,57,66,61,616
0.968711443,20,9,5,1,60,M,0,1,0,90492997,68,51,52,53,49,66,66,57,66,61,589
0.531877064,20,0,1, ,30,M,0,0,0,5539920,68,71,57,71,67,66,66,57,66,62,651
0.367299949,60,9, , ,60,M,2,0,2,37204951,25,51,65,71,49,66,56,57,66,61,567
0.780785333,20,0,3, ,30,S,0,1,0,68775432,68,71,57,71,67,67,66,57,66,61,651
0.269003796,20,5,5, ,30,M,0,1,0,236211587,68,55,52,71,67,66,66,57,66,61,629
0.761266566,20,25,5,0,30,M,0,1,0,52594052,68,43,52,72,67,66,66,57,66,61,618
0.294267368, , , , , , , , , , ,58,57,65,71,58,58,58,57,58,66,606
0.798600553,20,0,2, ,60,M,0,0,0,82114612,68,71,57,71,49,66,66,57,66,61,632
0.939882085,20,16,9,0,60,O,0,6,2,996619792,68,43,52,72,49,54,66,68,66,61,599
0.333906164,20,8,1, ,60,M,0,0, ,25000999,68,51,57,71,49,66,66,57,58,61,604
0.507987265,20,0, , ,30,M,0,1,0,33327963,68,71,65,71,67,66,66,57,66,61,658
0.977419617,20,7,2, ,60,M,0,0,0,41956519,68,51,57,71,49,66,66,57,66,61,612
0.464423717,20,0,3, ,30,O,0,0,2,300000000,68,71,57,71,67,54,66,57,66,61,638
0.250100515,20,0,2,2,30,M,0,0,0,83103732,68,71,57,53,67,66,66,57,66,61,632
0.434826354,20,0, , ,30,M,0,1,0,7344387,68,71,65,71,67,66,66,57,66,62,659
0.737017642,20,14,2, ,60,M,0,0, ,35001592,68,43,57,71,49,66,66,57,58,61,596
0.569482576,20,0,1, ,30,S,0,1,0,49965832,68,71,57,71,67,67,66,57,66,61,651
0.362273969,20,16,1, ,60,M,0,0,0,14762738,68,43,57,71,49,66,66,57,66,61,604
0.518687527,20,0,1, ,30,M,0,1,0,205375580,68,71,57,71,67,66,66,57,66,61,650
0.98093615,20,0,3, ,60,M,0,1, ,67457128,68,71,57,71,49,66,66,57,58,61,624
0.502806128,40,18,3, ,60,M,1,0,0,50032609,25,43,57,71,49,66,58,57,66,61,553
0.831049742,0,0,1, ,0,?,0,0,0,0,67,71,57,71,66,54,66,57,66,66,641
0.907921317,20,9,2, ,60,M,0,0,0,31359216,68,51,57,71,49,66,66,57,66,61,612
0.251831598,20,1,8, ,30,M,0,1,0,188894204,68,61,52,71,67,66,66,57,66,61,635
0.704994458,20,5,1, ,60,?,0,1, ,93822603,68,55,57,71,49,54,66,57,58,61,596
0.518498054,20,8,1, ,30,M,0,1,0,152846906,68,51,57,71,67,66,66,57,66,61,630
0.442971295,30,4,2,0,60,M,0,0,0,15823537,45,55,57,72,49,66,66,57,66,61,594
0.153588988,20,1, ,0,60,S,0,0,0,16909360,68,61,65,72,49,67,66,57,66,61,632
0.010359025,20,0,3, ,30,S,0,1,0,61772827,68,71,57,71,67,67,66,57,66,61,651
0.09499341,20,13,2, ,60,M,0,1,0,65238121,68,43,57,71,49,66,66,57,66,61,604
0.594256619,20,5,3, ,30,M,1,1,0,129702838,68,55,57,71,67,66,58,57,66,61,626
0.510801996,20,0,1, ,30,M,0,1,0,14032906,68,71,57,71,67,66,66,57,66,61,650
0.222409873,20,5,1, ,60,M,0,0, ,131156255,68,55,57,71,49,66,66,57,58,61,608
0.171279727,20,0,4, ,30,S,0,1, ,64195209,68,71,57,71,67,67,66,57,58,61,643
0.417346391,20,1,2, ,30,M,0,1,0,23130817,68,61,57,71,67,66,66,57,66,61,640
0.396870034,20,5,4, ,60,M,0,1,0,33977621,68,55,57,71,49,66,66,57,66,61,616
0.242751254,20,10,3, ,60,M,0,1,0,59912679,68,51,57,71,49,66,66,57,66,61,612
0.6674316,30,19,1, ,60,S,0,0,0,126540139,45,43,57,71,49,67,66,57,66,61,582
0.902796544,60,1,1, ,60,S,1,0,0,50861497,25,61,57,71,49,67,58,57,66,61,572
0.365268517,20,8,4, ,30,M,0,1,0,273238511,68,51,57,71,67,66,66,57,66,61,630
0.012781123,20,7,2, ,60,S,0,1,0,49274932,68,51,57,71,49,67,66,57,66,61,613
0.546271107,20,1,3, ,30,S,0,1,0,21604081,68,61,57,71,67,67,66,57,66,61,641
0.635756076,30,11, , ,60,M,0,0,0,61137436,45,51,65,71,49,66,66,57,66,61,597
0.593240946,20,2,2,0,60,M,0,0,2,73422537,68,57,57,72,49,66,66,57,66,61,619
0.917796955,20,6,1, ,60,M,0,0,0,23972029,68,51,57,71,49,66,66,57,66,61,612
0.307203777,20,3,3, ,60,S,0,0,0,78825243,68,57,57,71,49,67,66,57,66,61,619
0.261941057,20,0,2, ,30,S,0,1,0,13358904,68,71,57,71,67,67,66,57,66,61,651
0.984944742,20,9,3, ,60,M,0,1,0,94584596,68,51,57,71,49,66,66,57,66,61,612
0.557712488,20,1,5,0,30,S,0,8,0,205324375,68,61,52,72,67,67,66,68,66,61,648
0.398582989,20,5,3, ,60,M,0,1,0,37454833,68,55,57,71,49,66,66,57,66,61,616
0.107566343,20,0,1, ,30,M,0,1, ,90937241,68,71,57,71,67,66,66,57,58,61,642
0.183322236,20,19,2, ,60,M,0,0,0,15517694,68,43,57,71,49,66,66,57,66,61,604
